Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;;
01.03.06;#002.8015;;Knickpunkt dauernd beanspruchte Flächen (DB);Punkt
01.03.06;#002.8015;;Grenzlinie dauernd beanspruchte Flächen (DB);Linie
01.03.06;#002.8016;;Knickpunkt vorübergehend beanspruchte Flächen (VB);Punkt
01.03.06;#002.8016;;Grenzlinie vorübergehend beanspruchte Flächen (VB);Linie
01.03.06;#002.8017;;Knickpunkt Grunderwerb Nebenanlagen;Punkt
01.03.06;#002.8017;;Grenzlinie Grunderwerb Nebenanlagen;Linie
01.03.06;#002.8018;;Knickpunkt  Ausgleichsfläche;Punkt
01.03.06;#002.8018;;Grenzlinie Ausgleichsfläche ;Linie
01.03.06;#002.8019;;Knickpunkt Tauschflächen;Punkt
01.03.06;#002.8019;;Grenzlinie Tauschflächen;Linie
01.03.06;#000.8022;;Wohnhaus ;Punkt
01.03.06;#000.8022;;Gebäudelinie Wohnhaus (Aufnahme: ohne Schraffur);Linie
01.03.06;#002.8020;;Gebäudelinie Wohnhaus aus Aufnahme mit Schraffur;Linie
01.03.06;#002.8021;;Wohnhaus aufgemessen;Punkt
01.03.06;#002.8021;;Gebäudelinie Wohnhaus aufgemessen;Linie
01.03.06;#002.8122;;Gebäudepunkt aus ALK;Punkt
01.03.06;#002.8122;;Gebäudelinie Wohnhaus aus ALK Schraffur S2;Linie
01.03.06;#002.8023;;Hochhausumrisslinie ( Stift 4 );Linie
01.03.06;#002.8024;;Fensterhöhe ( für Schallschutzberechnungen );Punkt
01.03.06;#002.8024;;Gebäudelinie innen;Linie
01.03.06;#002.8025;;EFH (Erdgeschoss-Fußboden-Höhe) ;Punkt
01.03.06;#002.8025;;Gebäudelinie unterirdisch (allgem.);Linie
01.03.06;#002.8026;;Wohnhaus aus Digitalisierung / Konstruktion;Punkt
01.03.06;#002.8026;;Gebäudelinie Wohnhaus aus Digitalisierung / Konstruktion;Linie
01.03.06;#002.8027;;Firsthöhe;Punkt
01.03.06;#002.8027;;Firstlinie Wohnhaus;Linie
01.03.06;#002.8028;;Wohnhaus geplant ;Punkt
01.03.06;#002.8028;;Gebäudelinie Wohnhaus geplant ;Linie
01.03.06;#002.8029;;Wohnhaus oben;Punkt
01.03.06;#002.8029;;Gebäudelinie Wohnhaus oben;Linie
01.03.06;#000.8023;;gewerblich genutztes Gebäude ;Punkt
01.03.06;#000.8023;;Gebäudelinie Gewerbegebäude (Aufnahme: ohne Schraffur);Linie
01.03.06;#002.8030;;Gebäudelinie Gewerbegebäude aus Aufnahme mit Schraffur;Linie
01.03.06;#002.8031;;gewerblich genutztes Gebäude aufgemessen;Punkt
01.03.06;#002.8031;;Gebäudelinie Gewerbegebäude aufgemessen ;Linie
01.03.06;#002.8132;;Gebäudelinie Gewerbegebäude aus ALK Schraffur P2;Linie
01.03.06;#002.8135;;Gebäudelinie aus ALK Schraffur S0 - keine Schraffur;Linie
01.03.06;#002.8036;;gewerblich genutztes Gebäude Digi./Konstruktion;Punkt
01.03.06;#002.8036;;Gebäudelinie Gewerbegebäude aus Digitalisierung / Konstruktion;Linie
01.03.06;#002.8037;;Firstlinie Gewerbegebäude;Linie
01.03.06;#002.8038;;gewerblich genutztes Gebäude geplant / im Bau;Punkt
01.03.06;#002.8038;;Gebäudelinie Gewerbegebäude geplant / im Bau;Linie
01.03.06;#002.8039;;gewerblich genutztes Gebäude oben;Punkt
01.03.06;#002.8039;;Gebäudelinie Gewerbegebäude oben;Linie
01.03.06;#000.8024;;öffentliche Gebäude ;Punkt
01.03.06;#000.8024;;Gebäudelinie Schraffur f. öffentl. Gebäude (50 gon fett)  (bei terrestrischer Aufnahme: ohne Schraffur);Linie
01.03.06;#002.8040;;Gebäudelinie öffentliches Gebäude aus Aufnahme mit Schraffur ;Linie
01.03.06;#002.8041;;öffentliches Gebäude aufgemessen;Punkt
01.03.06;#002.8041;;Gebäudelinie öffentliches Gebäude aufgemessen;Linie
01.03.06;#002.8142;;Gebäudelinie öffentliches Gebäude aus ALK Schraffur S4;Linie
01.03.06;#002.8046;;öffentliches Gebäude aus Digi./Konstruktion;Punkt
01.03.06;#002.8046;;Gebäudelinie öffentliches Gebäude aus Digi. / Konstruktion;Linie
01.03.06;#002.8048;;öffentliches Gebäude geplant;Punkt
01.03.06;#002.8048;;Gebäudelinie öffentliches Gebäude geplant;Linie
01.03.06;#002.8049;;öffentliches Gebäude oben;Punkt
01.03.06;#002.8049;;Gebäudelinie öffentliches Gebäudelinie oben;Linie
01.03.06;#000.8025;;Überdachungen, Durchfahrt ;Punkt
01.03.06;#000.8025;;Umgrenzung der Überdachung (allgemein);Linie
01.03.06;#002.8051;;Überdachung/Durchfahrt aufgemessen;Punkt
01.03.06;#002.8051;;Umgrenzung der Überdachung / Durchfahrt (geschlossen);Linie
01.03.06;#002.8052;;Umgrenzung der Überdachung / Durchfahrt (offen);Linie
01.03.06;#002.8053;;Überdachungsdiagonale (gestrichelt);Linie
01.03.06;#002.8056;;Überdachung/Durchfahrt aus Digi. / Konstruktion;Punkt
01.03.06;#002.8059;;Überdachung oben;Punkt
01.03.06;#002.8059;;Überdachung oben;Linie
01.03.06;#000.8026;;Gebäudeanbauten;Punkt
01.03.06;#000.8026;;Gebäudeanbauten;Linie
01.03.06;#002.8061;;Kellerfenster;Punkt
01.03.06;#002.8062;;Lichtschacht;Punkt
01.03.06;#002.8062;;Lichtschacht Umrisslinie;Linie
01.03.06;#002.8063;;Terrasse;Punkt
01.03.06;#002.8063;;Terrasse Umrisslinie;Linie
01.03.06;#002.8065;;Gebäudeeingang;Punkt
01.03.06;#002.8065;;Gebäudeeingang;Linie
01.03.06;#002.8069;;Anbau oben;Punkt
01.03.06;#002.8069;;Anbau oben;Linie
01.03.06;#000.8027;;Bauleitplanung ( Grenzpunkt );Punkt
01.03.06;#000.8027;;Bauleitplanung ( Grenzlinie );Linie
01.03.06;#002.8071;;Grenzlinie Bebauungsplan;Punkt
01.03.06;#002.8071;;Grenzlinie Bebauungsplan;Linie
01.03.06;#002.8072;;Wohnbaufläche;Punkt
01.03.06;#002.8072;;Wohnbaufläche;Linie
01.03.06;#027.8021;;Kleinsiedlungsgebiet;Punkt
01.03.06;#027.8021;;  Kleinsiedlungsgebiet;Linie
01.03.06;#027.8022;;reines Wohngebiet;Punkt
01.03.06;#027.8022;;reines Wohngebiet;Linie
01.03.06;#027.8023;;allgemeines Wohngebiet;Punkt
01.03.06;#027.8023;;allgemeines Wohngebiet;Linie
01.03.06;#027.8024;;besonderes Wohngebiet;Punkt
01.03.06;#027.8024;;besonderes Wohngebiet;Linie
01.03.06;#002.8073;;Gemischte Baufläche;Punkt
01.03.06;#002.8073;;Gemischte Baufläche;Linie
01.03.06;#027.8031;;Dorfgebiet;Punkt
