Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode
15.12.10;#061.F205;;DGM - Fahrbahnbegrenzung;Linie
15.12.10;#061.F305;;DGM - Fahrbahnbegrenzung;Linie
18.10.02;#061.F905;;DGM - Fahrbahnbegrenzung;Linie
18.10.02;#061.F006;;DGM - Straßengraben;Linie
01.01.13;#061.F106;;DGM - Straßengraben;Linie
15.12.10;#061.F206;;DGM - Straßengraben;Linie
15.12.10;#061.F306;;DGM - Straßengraben;Linie
18.10.02;#061.F906;;DGM - Straßengraben;Linie
18.10.02;#061.F007;;DGM - Uferlinie;Linie
01.01.13;#061.F107;;DGM - Uferlinie;Linie
15.12.10;#061.F207;;DGM - Uferlinie;Linie
15.12.10;#061.F307;;DGM - Uferlinie;Linie
18.10.02;#061.F907;;DGM - Uferlinie;Linie
18.10.02;#061.F008;;DGM - Uferlinie, veränderlich;Linie
01.01.13;#061.F108;;DGM - Uferlinie, veränderlich;Linie
15.12.10;#061.F208;;DGM - Uferlinie, veränderlich;Linie
15.12.10;#061.F308;;DGM - Uferlinie, veränderlich;Linie
18.10.02;#061.F908;;DGM - Uferlinie, veränderlich;Linie
18.10.02;#061.F009;;DGM - Bach unter 1m;Linie
01.01.13;#061.F109;;DGM - Bach unter 1m;Linie
15.12.10;#061.F209;;DGM - Bach unter 1m;Linie
15.12.10;#061.F309;;DGM - Bach unter 1m;Linie
18.10.02;#061.F909;;DGM - Bach unter 1m;Linie
18.10.02;#061.F010;;DGM - Wasserlaufseite > 1m;Linie
01.01.13;#061.F110;;DGM - Wasserlaufseite > 1m;Linie
15.12.10;#061.F210;;DGM - Wasserlaufseite > 1m;Linie
15.12.10;#061.F310;;DGM - Wasserlaufseite > 1m;Linie
18.10.02;#061.F910;;DGM - Wasserlaufseite > 1m;Linie
18.10.02;#061.F011;;DGM - Pfad;Linie
01.01.13;#061.F111;;DGM - Pfad;Linie
15.12.10;#061.F211;;DGM - Pfad;Linie
15.12.10;#061.F311;;DGM - Pfad;Linie
18.10.02;#061.F911;;DGM - Pfad;Linie
