Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;;
;#231.3034;;Pflasterkante, Linienpunkt;Linie;l08;
24.06.02;#232.3005;;Betonschutzwand;Punkt;h36;
;#232.3005;;Betonschutzwand;Linie;l36;
24.06.02;#232.3008;;SIB-Punkt;Punkt;b04;
24.06.02;#232.3009;;Astnullpunkt;Punkt;b09;
24.06.02;#232.3010;;Abschnittsnullpunkt;Punkt;b08;
24.06.02;#232.3011;;Tür in Lärmschutzwand;Punkt;b52;
24.06.02;#233.3001;;Ortsschild;Punkt;b29;
24.06.02;#233.3002;;Rechteck-Schild;Punkt;b22;
25.10.01;#233.3003;;Rechteck-Schild klein, als Zusatz;Punkt;b23;
24.06.02;#233.3004;;Rechteck-Schild mittel;Punkt;b24;
24.06.02;#233.3005;;Rechteck-Schild groß;Punkt;b25;
24.06.02;#233.3006;;Schild mit Richtungsanzeige;Punkt;b26;
24.06.02;#233.3007;;Schild mit Richtungsanzeige links;Punkt;b27;
24.06.02;#233.3008;;Schild mit Richtungsanzeige rechts;Punkt;b28;
24.06.02;#233.3009;;Vorschriftszeichen -rund-;Punkt;b17;
24.06.02;#233.3010;;Gefahrzeichen -Dreieck-;Punkt;b18;
24.06.02;#233.3011;;Vorfahrt achten-Zeichen;Punkt;b19;
24.06.02;#233.3012;;Vorfahrtsstraße;Punkt;b20;
24.06.02;#233.3013;;Stoppschild;Punkt;g35;
24.06.02;#233.3014;;Verkehrsampel gem. RiLSA einseitig;Punkt;b35;
24.06.02;#233.3015;;Verkehrsampel gem. RiLSA zweiseitig;Punkt;b36;
24.06.02;#233.3016;;Verkehrsampel gem. RiLSA dreiseitig;Punkt;b37;
24.06.02;#233.3017;;Verkehrsampel gem. RiLSA vierseitig;Punkt;b38;
24.06.02;#233.3018;;Kleinabzweigkasten Signalanlage;Punkt;b90;
24.06.02;#233.3019;;Haltestelle;Punkt;b39;
24.06.02;#233.3020;;Betonsockel von Verkehrszeichen und Schilderbrücke;Punkt;g47;
24.06.02;#233.3020;;Betonsockel von Verkehrszeichen und Schilderbrücke;Linie;k59;
24.06.02;#233.3021;;Schilderbrücke;Punkt;b30;
24.06.02;#233.3022;;Schilderbrücke -Kragarm links-;Punkt;b31;
24.06.02;#233.3023;;Schilderbrücke -Kragarm rechts-;Punkt;b32;
24.06.02;#234.3001;;Schienenoberkante;Punkt;r41;
