Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;;
07.10.02;3501.E001;;Oberirdische Abwasserleitung;Linie;141
07.10.02;3502.E001;;Unterirdische Abwasser-, Schmutzwasserleitung;Linie;241
18.09.02;3504.E001;;Schacht / Abwasser rund;Punkt;s1115
07.10.02;3504.E002;;Schacht eckig;Punkt;s1205
07.10.02;3505.E001;;Straßeneinlauf eckig;Punkt;s1239
07.10.02;3505.E002;;Straßeneinlauf rund;Punkt;s1093
07.10.02;3531.E001;;Klärgrube;Linie;69
20.06.03;3591.0000;2.5.5.12;Benzin-, Ölabscheider;Punkt;F38
07.10.02;3911.E001;;Schornstein;Linie;128
18.09.02;4211.E001;;Parkanlage;Punkt;s1012
07.10.02;4242.E001;;Wildschutzzaun;Linie;53
07.10.02;4301.E001;;Campingplatz;Punkt;s1435
07.10.02;5002.E001;;Netzknoten;Punkt;s31
07.10.02;5003.E001;;Stationszeichen;Punkt;s1317
17.09.02;5004.E001;;Tangentenpunkt, Bogen Anfang/Ende;Punkt;s1
07.10,02;5004.E002;;Fahrbahnachse;Linie;11
07.10.02;5004.E003;;Gleisachse;Linie;13
07.10.02;5116.E001;;Fahrbahnmarkierung;Linie;12
07.10.02;5172.E001;;Fundament;Punkt;84
07.10.02;5173.E001;;Hochbord;Linie;22
07.10.01;5174.E001;;Tiefbord;Linie;21
07.10.02;5211.E001;;unbefestigter Weg;Linie;29
17.09.02;5281.E001;;Wegweiser;Punkt;s564
18.09.02;5281.E002;;Wegweiser;Punkt;s1249
18.09.02;5281.E003;;Wegweiser;Punkt;s1263
18.09.02;5281.E004;;Wegweiser;Punkt;s1264
18.09.02;5281.E005;;Wegweiser;Punkt;s1265
18.09.02;5281.E006;;Barke nach rechts;Punkt;s1279
18.09.02;5284.E001;;Ampel;Punkt;s1273
07.10.02;5284.E002;;Lichtzeichenbrücke;Punkt;s1320
07.10.02;5285.E001;;Kilometerstein;Punkt;s1225
18.09.02;5286.E001;;Gefahrzeichen;Punkt;s1267
18.09.02;5286.E002;;Schild;Punkt;s1269
07.10.02;5287.E001;;Verkehrszeichenbrücke;Punkt;s1302
18.09.02;5288.E001;;Licht;Punkt;s1230
07.10.02;5289.E001;;Ortsdurchfahrtsstein;Punkt;s592
07.10.02;5292.E001;;Tür;Punkt;s1303
07.10.02;5296.E001;;Fahrbahnrand;Linie;10
07.10.02;5297.E001;;Radweg;Linie;20
07.10.02;5297.E002;;Gehweg;Linie;23
07.10.02;5311.E001;;Parkplatz;Punkt;s1309
07.10.02;5411.E001;;Gleis Schiene einzeln;Linie;14
07.10.02;5439.E001;;Bus- Bahnhaltestelle;Punkt;s636
18.09.02;5476.E001;;Blinklicht;Punkt;s1259
07.10.02;5476.E002;;Blinklicht;Punkt;s1301
17.09.02;5477.E001;;Schranke;Punkt;s555
18.09.02;5477.E002;;Andreaskreuz;Punkt;s1262
07.10.02;5741.E001;;Gaslaterne;Punkt;s1270
18.09.02;5742.E001;;Laterne;Punkt;s1281
07.10.02;5742.E002;;Mast mit Lampe;Punkt;s1070
07.10.02;5747.E001;;Werbefläche;Punkt;1300
17.09.02;5751.E001;;Fahnenstange;Punkt;s37
07.10.02;6110.E001;;Ackerland;Punkt;s1305
18.09.02;6206.E001;;Schilf;Punkt;s1016
07.10.02;6310.E001;;Gartenland;Linie;s1306
18.09.02;6500.E001;;Moor;Punkt;s1015
18.09.02;7100.E001;;Laubwald;Punkt;s1005
18.09.02;7200.E001;;Nadelwald;Punkt;s1010
18.09.02;7300.E001;;Mischwald;Punkt;s1011
18.09.02;7400.E001;;Gebüsch;Punkt;s1256
18.09.02;7501.E001;;Laubbaum;Punkt;s1122
07.10.02;7501.E002;;Laubbaum einzeln;Punkt;s1001
07.10.02;7501.E003;;Ahorn;Punkt;s1140
07.10.02;7501.E004;;Birke;Punkt;s1141
07.10.02;7501.E005;;Buche;Punkt;s1142
07.10.02;7501.E006;;Eiche;Punkt;s1143
07.10.02;7501.E007;;Esche;Punkt;s1144
07.10.02;7501.E008;;Kastanie;Punkt;s1145
07.10.02;7501.E009;;Linde;Punkt;s1146
07.10.02;7501.E010;;Pappel;Punkt;s1147
