Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;Schichtname;Schichtbezeichnung;Art;;;;;
03.02.16;Best.1197;;verdeckter Wasserlauf;Linie;1197;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1133;2.3.9.1;Mauer (Uferbefestigung);Punkt;1133;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1133;;Mauer (Uferbefestigung);Linie;1133;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1233;;Mauer (Uferbefestigung);Text;1233;12T_Nutzung;Textschicht für Schicht 11Nutzung;Bestandsplan;;;;;
03.02.16;Best.1134;;Fließrichtungspfeil;Punkt;1134;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1135;;Ein-/Auslauf für Wasserlauf < 1mm Kartenbreite;Punkt;1135;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1136;;Bauwerke allgemeiner Art (außer Gebäude);Punkt;1136;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1136;;Bauwerke allgemeiner Art (außer Gebäude);Linie;1136;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1236;;Bauwerke allgemeiner Art (außer Gebäude);Text;1236;12T_Nutzung;Textschicht für Schicht 11Nutzung;Bestandsplan;;;;;
03.02.16;Best.1137;2.5.5.;Brunnen;Punkt;1137;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1138;;Wasserlauf – verrohrt;Punkt;1138;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1138;;Wasserlauf – verrohrt;Linie;1138;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1238;;Wasserlauf – verrohrt;Text;1238;12T_Nutzung;Textschicht für Schicht 11Nutzung;Bestandsplan;;;;;
03.02.16;Best.1139;2.3.8.;Fließrichtungspfeil;Punkt;1139;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1140;2.3.10.;Wasserspiegel;Punkt;1140;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1240;;Wasserspiegel;Text;1240;12T_Nutzung;Textschicht für Schicht 11Nutzung;Bestandsplan;;;;;
03.02.16;Best.1141;2.7.1.;Laubbaumreihe;Punkt;1141;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1141;;Laubbaumreihe;Linie;1141;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1142;;Hecke;Punkt;1142;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1142;;Hecke;Linie;1142;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1143;2.7.1.;Obstbaumreihe;Punkt;1143;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1143;;Obstbaumreihe;Linie;1143;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1144;2.7.1.;Nadelbaumreihe;Punkt;1144;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1144;;Nadelbaumreihe;Linie;1144;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1250;2.2.7.;Nutzung;Text;1250;12T_Nutzung;Textschicht für Schicht 11Nutzung;Bestandsplan;;;;;
03.02.16;Best.1301;2.7.5.;Grenze Wasserschutzgebiet;Punkt;1301;13Grenzen;sonstige öffentlich rechtliche Grenzen;Bestandsplan;;;;;
03.02.16;Best.1301;;Grenze Wasserschutzgebiet;Linie;1301;13Grenzen;sonstige öffentlich rechtliche Grenzen;Bestandsplan;;;;;
03.02.16;Best.1401;;Grenze Wasserschutzgebiet;Text;1401;14T_Grenzen;Textschicht für Schicht 13Grenzen;Bestandsplan;;;;;
03.02.16;Best.1302;2.7.5.;Grenze Naturschutzgebiet;Punkt;1302;13Grenzen;sonstige öffentlich rechtliche Grenzen;Bestandsplan;;;;;
03.02.16;Best.1302;;Grenze Naturschutzgebiet;Linie;1302;13Grenzen;sonstige öffentlich rechtliche Grenzen;Bestandsplan;;;;;
03.02.16;Best.1402;;Grenze Naturschutzgebiet;Text;1402;14T_Grenzen;Textschicht für Schicht 13Grenzen;Bestandsplan;;;;;
03.02.16;Best.1303;2.7.5.;Grenze Landschaftsschutzgebiet;Punkt;1303;13Grenzen;sonstige öffentlich rechtliche Grenzen;Bestandsplan;;;;;
03.02.16;Best.1303;;Grenze Landschaftsschutzgebiet;Linie;1303;13Grenzen;sonstige öffentlich rechtliche Grenzen;Bestandsplan;;;;;
03.02.16;Best.1403;;Grenze Landschaftsschutzgebiet;Text;1403;14T_Grenzen;Textschicht für Schicht 13Grenzen;Bestandsplan;;;;;
03.02.16;Best.1304;2.7.5.;Grenze Biotop;Punkt;1304;13Grenzen;sonstige öffentlich rechtliche Grenzen;Bestandsplan;;;;;
03.02.16;Best.1304;;Grenze Biotop;Linie;1304;13Grenzen;sonstige öffentlich rechtliche Grenzen;Bestandsplan;;;;;
03.02.16;Best.1404;;Grenze Biotop;Text;1404;14T_Grenzen;Textschicht für Schicht 13Grenzen;Bestandsplan;;;;;
03.02.16;Best.1305;2.7.5.;Grenze sonstiges Schutzgebiet;Punkt;1305;13Grenzen;sonstige öffentlich rechtliche Grenzen;Bestandsplan;;;;;
03.02.16;Best.1305;;Grenze sonstiges Schutzgebiet;Linie;1305;13Grenzen;sonstige öffentlich rechtliche Grenzen;Bestandsplan;;;;;
03.02.16;Best.1405;;Grenze sonstiges Schutzgebiet;Text;1405;14T_Grenzen;Textschicht für Schicht 13Grenzen;Bestandsplan;;;;;
03.02.16;Best.1306;2.7.5.;LASuV-Niederlassungsgrenzen;Punkt;1306;13Grenzen;sonstige öffentlich rechtliche Grenzen;Bestandsplan;;;;;
03.02.16;Best.1306;;LASuV-Niederlassungsgrenzen;Linie;1306;13Grenzen;sonstige öffentlich rechtliche Grenzen;Bestandsplan;;;;;
03.02.16;Best.1406;;LASuV-Niederlassungsgrenzen;Text;1406;14T_Grenzen;Textschicht für Schicht 13Grenzen;Bestandsplan;;;;;
03.02.16;Best.1307;2.7.5.;Autobahnmeistereigrenzen;Punkt;1307;13Grenzen;sonstige öffentlich rechtliche Grenzen;Bestandsplan;;;;;
03.02.16;Best.1307;;Autobahnmeistereigrenzen;Linie;1307;13Grenzen;sonstige öffentlich rechtliche Grenzen;Bestandsplan;;;;;
03.02.16;Best.1407;;Autobahnmeistereigrenzen;Text;1407;14T_Grenzen;Textschicht für Schicht 13Grenzen;Bestandsplan;;;;;
03.02.16;Best.1308;2.7.5.;Straßenmeistereigrenzen;Punkt;1308;13Grenzen;sonstige öffentlich rechtliche Grenzen;Bestandsplan;;;;;
03.02.16;Best.1308;;Straßenmeistereigrenzen;Linie;1308;13Grenzen;sonstige öffentlich rechtliche Grenzen;Bestandsplan;;;;;
03.02.16;Best.1408;;Straßenmeistereigrenzen;Text;1408;14T_Grenzen;Textschicht für Schicht 13Grenzen;Bestandsplan;;;;;
03.02.16;Best.1309;2.7.5.;öffentlich rechtliche Grenzen;Punkt;1309;13Grenzen;sonstige öffentlich rechtliche Grenzen;Bestandsplan;;;;;
03.02.16;Best.1309;;öffentlich rechtliche Grenzen;Linie;1309;13Grenzen;sonstige öffentlich rechtliche Grenzen;Bestandsplan;;;;;
03.02.16;Best.1409;;öffentlich rechtliche Grenzen;Text;1409;14T_Grenzen;Textschicht für Schicht 13Grenzen;Bestandsplan;;;;;
03.02.16;Best.1501;2.3.1.;Fahrbahnmarkierung durchgehend (Bundesstraße);Punkt;1501;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1501;;Fahrbahnmarkierung durchgehend (Bundesstraße);Linie;1501;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1599;;Fahrbahnmarkierung durchgehend verdeckt (Bundesstraße);Linie;1599;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1502;2.3.1.;Fahrbahnmarkierung unterbrochen (Bundesstraße);Punkt;1502;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1502;;Fahrbahnmarkierung unterbrochen (Bundesstraße);Linie;1502;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1503;2.3.1.;Randstreifen (Bundesstraße);Punkt;1503;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1503;;Randstreifen (Bundesstraße);Linie;1503;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1598;;Randstreifen verdeckt (Bundesstraße);Linie;1598;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1505;2.3.1.;Fahrbahnrand (Bundesstraße);Punkt;1505;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1505;;Fahrbahnrand (Bundesstraße);Linie;1505;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1597;;Fahrbahnrand verdeckt (Bundesstraße);Linie;1597;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1601;3.2.3.;Text (Bundesstraße);Text;1601;16T_Verkehr;Textschicht für Schicht 15Verkehr;Bestandsplan;;;;;
03.02.16;Best.1509;2.3.1.16;Fahrbahnachse (Bundesstraße);Punkt;1509;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1509;;Fahrbahnachse (Bundesstraße);Linie;1509;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1511;2.3.1..;Fahrbahnmarkierung durchgehend (Staatsstraße);Punkt;1511;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1511;;Fahrbahnmarkierung durchgehend (Staatsstraße);Linie;1511;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1596;;Fahrbahnmarkierung durchgehend verdeckt (Staatsstraße);Linie;1596;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1512;2.3.1.;Fahrbahnmarkierung unterbrochen (Staatsstraße);Punkt;1512;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1512;;Fahrbahnmarkierung unterbrochen (Staatsstraße);Linie;1512;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1513;2.3.1.;Randstreifen (Staatsstraße);Punkt;1513;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1513;;Randstreifen (Staatsstraße);Linie;1513;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1595;;Randstreifen verdeckt (Staatsstraße);Linie;1595;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1515;2.3.1.1;Fahrbahnrand (Staatsstraße);Punkt;1515;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1515;;Fahrbahnrand (Staatsstraße);Linie;1515;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1594;;Fahrbahnrand verdeckt (Staatsstraße);Linie;1594;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1611;3.2.5.;Text (Staatsstraße);Text;1611;16T_Verkehr;Textschicht für Schicht 15Verkehr;Bestandsplan;;;;;
03.02.16;Best.1519;2.3.1.16;Fahrbahnachse (Staatsstraße);Punkt;1519;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1519;;Fahrbahnachse (Staatsstraße);Linie;1519;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1521;2.3.1.;Fahrbahnmarkierung durchgehend (Kreisstraße);Punkt;1521;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1521;;Fahrbahnmarkierung durchgehend (Kreisstraße);Linie;1521;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1593;;Fahrbahnmarkierung durchgehend verdeckt  (Kreisstraße);Linie;1593;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1522;2.3.1.;Fahrbahnmarkierung unterbrochen (Kreisstraße);Punkt;1522;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1522;;Fahrbahnmarkierung unterbrochen (Kreisstraße);Linie;1522;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1523;2.3.1.;Randstreifen (Kreisstraße);Punkt;1523;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1523;;Randstreifen (Kreisstraße);Linie;1523;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1592;;Randstreifen verdeckt (Kreisstraße);Linie;1592;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1525;2.3.1.;Fahrbahnrand (Kreisstraße);Punkt;1525;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1525;;Fahrbahnrand (Kreisstraße);Linie;1525;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1591;;Fahrbahnrand verdeckt (Kreisstraße);Linie;1591;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1621;3.2.6.;Text (Kreisstraße);Text;1621;16T_Verkehr;Textschicht für Schicht 15Verkehr;Bestandsplan;;;;;
03.02.16;Best.1529;2.3.1.16;Fahrbahnachse (Kreisstraße);Punkt;1529;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1529;;Fahrbahnachse (Kreisstraße);Linie;1529;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1530;2.3.1.16;Fahrbahnachse (Orts- bzw. Gemeindeverbindungsstraße);Punkt;1530;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1530;;Fahrbahnachse (Orts- bzw. Gemeindeverbindungsstraße);Linie;1530;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1531;2.3.1.;Fahrbahnrand (Orts- bzw. Gemeindeverbindungsstraße);Punkt;1531;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1531;;Fahrbahnrand (Orts- bzw. Gemeindeverbindungsstraße);Linie;1531;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
03.02.16;Best.1590;;Fahrbahnrand verdeckt (Orts- bzw. Gemeindeverbindungsstraße);Linie;1590;15Verkehr;Verkehrsanlagen außer Autobahn;Bestandsplan;;;;;
