Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;Status;Objektart;Attribut Verkehr;Attribut Ver-/Entsorgung;Attribut Ver-/Entsorgung unterirdisch;;
01.08.10;#051.F326;;Stützmauer UK Futtermauer, verdeckt;Linie;511;Photogrammetrie/Laser;Topographie;;;;;
01.11.08;#051.F926;;Stützmauer UK Futtermauer, verdeckt;Linie;225;Planung;Topographie;;;;;
01.11.08;#061.F001;;DGM - Bruchkanten;Linie;661;Bestand;DGM;;;;;
29.01.13;#061.F101;;DGM - Bruchkanten;Linie;661;Dritter;DGM;;;;;
01.08.10;#061.F201;;DGM - Bruchkanten;Linie;661;Digitalisiert;DGM;;;;;
01.08.10;#061.F301;;DGM - Bruchkanten;Linie;661;Photogrammetrie/Laser;DGM;;;;;
01.11.08;#061.F901;;DGM - Bruchkanten;Linie;240;Planung;DGM;;;;;
01.11.08;#061.F002;;DGM - Bruchkanten, geschlossen;Linie;661;Bestand;DGM;;;;;
29.01.13;#061.F102;;DGM - Bruchkanten, geschlossen;Linie;661;Dritter;DGM;;;;;
01.08.10;#061.F202;;DGM - Bruchkanten, geschlossen;Linie;661;Digitalisiert;DGM;;;;;
01.08.10;#061.F302;;DGM - Bruchkanten, geschlossen;Linie;661;Photogrammetrie/Laser;DGM;;;;;
01.11.08;#061.F902;;DGM - Bruchkanten, geschlossen;Linie;240;Planung;DGM;;;;;
01.11.08;#061.F003;;DGM - Böschungsoberkante;Linie;661;Bestand;DGM;;;;;
29.01.13;#061.F103;;DGM - Böschungsoberkante;Linie;661;Dritter;DGM;;;;;
01.08.10;#061.F203;;DGM - Böschungsoberkante;Linie;661;Digitalisiert;DGM;;;;;
01.08.10;#061.F303;;DGM - Böschungsoberkante;Linie;661;Photogrammetrie/Laser;DGM;;;;;
01.11.08;#061.F903;;DGM - Böschungsoberkante;Linie;240;Planung;DGM;;;;;
01.11.08;#061.F004;;DGM - Böschungsunterkante;Linie;661;Bestand;DGM;;;;;
29.01.13;#061.F104;;DGM - Böschungsunterkante;Linie;661;Dritter;DGM;;;;;
01.08.10;#061.F204;;DGM - Böschungsunterkante;Linie;661;Digitalisiert;DGM;;;;;
01.08.10;#061.F304;;DGM - Böschungsunterkante;Linie;661;Photogrammetrie/Laser;DGM;;;;;
01.11.08;#061.F904;;DGM - Böschungsunterkante;Linie;240;Planung;DGM;;;;;
01.11.08;#061.F005;;DGM - Fahrbahnbegrenzung;Linie;661;Bestand;DGM;;;;;
29.01.13;#061.F105;;DGM - Fahrbahnbegrenzung;Linie;661;Dritter;DGM;;;;;
01.08.10;#061.F205;;DGM - Fahrbahnbegrenzung;Linie;661;Digitalisiert;DGM;;;;;
01.08.10;#061.F305;;DGM - Fahrbahnbegrenzung;Linie;661;Photogrammetrie/Laser;DGM;;;;;
01.11.08;#061.F905;;DGM - Fahrbahnbegrenzung;Linie;240;Planung;DGM;;;;;
01.11.08;#061.F006;;DGM - Straßengraben;Linie;661;Bestand;DGM;;;;;
29.01.13;#061.F106;;DGM - Straßengraben;Linie;661;Dritter;DGM;;;;;
01.08.10;#061.F206;;DGM - Straßengraben;Linie;661;Digitalisiert;DGM;;;;;
01.08.10;#061.F306;;DGM - Straßengraben;Linie;661;Photogrammetrie/Laser;DGM;;;;;
01.11.08;#061.F906;;DGM - Straßengraben;Linie;240;Planung;DGM;;;;;
01.11.08;#061.F007;;DGM - Uferlinie;Linie;661;Bestand;DGM;;;;;
29.01.13;#061.F107;;DGM - Uferlinie;Linie;661;Dritter;DGM;;;;;
01.08.10;#061.F207;;DGM - Uferlinie;Linie;661;Digitalisiert;DGM;;;;;
01.08.10;#061.F307;;DGM - Uferlinie;Linie;661;Photogrammetrie/Laser;DGM;;;;;
01.11.08;#061.F907;;DGM - Uferlinie;Linie;240;Planung;DGM;;;;;
01.11.08;#061.F008;;DGM - Uferlinie, veränderlich;Linie;661;Bestand;DGM;;;;;
29.01.13;#061.F108;;DGM - Uferlinie, veränderlich;Linie;661;Dritter;DGM;;;;;
01.08.10;#061.F208;;DGM - Uferlinie, veränderlich;Linie;661;Digitalisiert;DGM;;;;;
01.08.10;#061.F308;;DGM - Uferlinie, veränderlich;Linie;661;Photogrammetrie/Laser;DGM;;;;;
01.11.08;#061.F908;;DGM - Uferlinie, veränderlich;Linie;240;Planung;DGM;;;;;
01.11.08;#061.F009;;DGM - Bach unter 1m Breite (bei M1:1000);Linie;661;Bestand;DGM;;;;;
29.01.13;#061.F109;;DGM - Bach unter 1m Breite (bei M1:1000);Linie;661;Dritter;DGM;;;;;
01.08.10;#061.F209;;DGM - Bach unter 1m Breite (bei M1:1000);Linie;661;Digitalisiert;DGM;;;;;
01.08.10;#061.F309;;DGM - Bach unter 1m Breite (bei M1:1000);Linie;661;Photogrammetrie/Laser;DGM;;;;;
01.11.08;#061.F909;;DGM - Bach unter 1m Breite (bei M1:1000);Linie;240;Planung;DGM;;;;;
01.11.08;#061.F010;;DGM - Wasserlaufseite > 1m Breite (bei M1:1000);Linie;661;Bestand;DGM;;;;;
29.01.13;#061.F110;;DGM - Wasserlaufseite > 1m Breite (bei M1:1000);Linie;661;Dritter;DGM;;;;;
01.08.10;#061.F210;;DGM - Wasserlaufseite > 1m Breite (bei M1:1000);Linie;661;Digitalisiert;DGM;;;;;
01.08.10;#061.F310;;DGM - Wasserlaufseite > 1m Breite (bei M1:1000);Linie;661;Photogrammetrie/Laser;DGM;;;;;
01.11.08;#061.F910;;DGM - Wasserlaufseite > 1m Breite (bei M1:1000);Linie;240;Planung;DGM;;;;;
01.11.08;#061.F011;;DGM - Pfad;Linie;661;Bestand;DGM;;;;;
29.01.13;#061.F111;;DGM - Pfad;Linie;661;Dritter;DGM;;;;;
01.08.10;#061.F211;;DGM - Pfad;Linie;661;Digitalisiert;DGM;;;;;
01.08.10;#061.F311;;DGM - Pfad;Linie;661;Photogrammetrie/Laser;DGM;;;;;
01.11.08;#061.F911;;DGM - Pfad;Linie;240;Planung;DGM;;;;;
01.11.08;#061.F012;;DGM - Gehweg/Radweg an Straßen;Linie;661;Bestand;DGM;;;;;
29.01.13;#061.F112;;DGM - Gehweg/Radweg an Straßen;Linie;661;Dritter;DGM;;;;;
01.08.10;#061.F212;;DGM - Gehweg/Radweg an Straßen;Linie;661;Digitalisiert;DGM;;;;;
