Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;CAD-Ebene
19.06.02;0492.0000;2.2.1.5;Böschungshöhe;Text;1,8;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.06.02;0486.0000;2.2.1.6;Böschung (Schraffen);Linie;0,18 ;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.10.03;0487.0000;2.2.1.7;Angedeutete Böschungsrichtung, Oberkante nicht erfasst;Linie;H05;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.12.12;0487.0000;;Angedeutete Böschungsrichtung, Oberkante nicht erfasst;Text;1,8 / S / frei platzierbar;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.10.03;0487.0001;2.2.1.7;Angedeutete Böschungsrichtung, Unterkante nicht erfasst;Linie;H06;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.12.12;0487.0001;;Angedeutete Böschungsrichtung, Unterkante nicht erfasst;Text;1,8 / S / frei platzierbar;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.12.12;0463.0000;2.2.1.8;Befestigte Böschung / Art der Befestigung;Text;1,8;54
25.10.01;0431.0000;2.2.2.1;Höhenpunkt mit Höhenzahl / Geländepunkte;Punkt;U01;57
04.12.12;0431.0000;2.2.2.1;Höhenpunkt mit Höhenzahl / Geländepunkte;Text;1,8 / S / frei platzierbar;109
18.07.03;0435.0000;2.2.2.2;Einzelhöhe;Punkt;U18;57
09.12.03;0435.0001;2.2.2.2;Einzelhöhe;Text;1,8 / S / frei platzierbar;109
05.03.13;0435.C001;;Durchfahrtshöhen / Durchhanghöhen / Höhe Unterkante;Punkt;U19;57
05.03.13;0435.C001;;Durchfahrtshöhen / Durchhanghöhen / Höhe Unterkante;Text;1,8 / S / frei platzierbar;109
05.03.13;0435.C002;;Sohle / Sohlpunkte / Grund;Punkt;U62;57
05.03.13;0435.C002;;Sohle / Sohlpunkte / Grund;Text;1,8 / S / frei platzierbar;109
25.10.01;0411.0000;2.2.3.1;Höhenlinie - 20 Meter;Linie;H07;86
25.10.01;0411.0000;2.2.3.1;Höhenlinie - 20 Meter;Text;2,5 / R;86
25.10.01;0412.0000;2.2.3.2;Höhenlinie - 10 Meter;Linie;H08;87
25.10.01;0412.0000;2.2.3.2;Höhenlinie - 10 Meter;Text;2,5 / R;87
06.06.03;0413.0000;2.2.3.3;Höhenlinie - 5 Meter;Linie;H09;88
25.10.01;0413.0000;2.2.3.3;Höhenlinie - 5 Meter;Text;2,5 / R;88
06.06.03;0414.0000;2.2.3.4;Höhenlinie - 2,5 Meter;Linie;H10;89
25.10.01;0414.0000;2.2.3.4;Höhenlinie - 2,5 Meter;Text;2,5 / R;89
06.06.03;0415.0000;2.2.3.5;Höhenlinie - 1 Meter;Linie;H11;90
25.10.01;0415.0000;2.2.3.5;Höhenlinie - 1 Meter;Text;2,5 / R;90
06.06.03;0416.0000;2.2.3.6;Höhenlinie - 0,5/0.25 Meter;Linie;H12;91
25.10.01;0416.0000;2.2.3.6;Höhenlinie - 0,5/0.25 Meter;Text;2,5 / R;91
23.10.03;0427.0000;2.2.3.7;Höhenlinie - unsicher;Linie;H12;102
04.12.12;0427.0000;;Höhenlinie - unsicher;Text;2,5 / S / frei platzierbar;102
04.07.03;0427.0001;;Neigungsrichtung;Punkt;M08;103
04.12.12;0427.0001;;Neigungsrichtung;Text;1,8 / S / frei platzierbar;103
04.12.12;0441.0000;2.2.4;Fels;Punkt;U01;104
09.12.03;0441.0000;2.2.4;Fels;Linie;0;104
04.12.12;0441.0000;2.2.4;Fels;Text;1,8 / R;104
04.12.12;0441.0000;2.2.4;Fels;Flaeche;16;104
04.12.12;0462.0001;2.2.5;Steilrand;Punkt;U01;54
04.12.12;0462.0001;2.2.5;Steilrand;Text;1,8;54
04.12.12;0462.0001;2.2.5;Steilrand;Flaeche;;54
07.11.03;L462.0000;2.2.5;Steilrand links (in Aufnahmerichtung);Linie;H14;54
07.11.03;R462.0000;2.2.5;Steilrand rechts (in Aufnahmerichtung);Linie;H14;54
04.12.12;0251.C001;;Topographische   (Begrenzungs-) Linie;Punkt;U01;104
25.10.01;0251.0000;2.2.6;Topographische   (Begrenzungs-) Linie;Linie;H15;104
04.12.12;0251.C001;;Topographische   (Begrenzungs-) Linie;Text;1,8 / R;104
04.12.12;0252.C001;;Überdeckte topographische (Begrenzungs-) Linie;Punkt;U01;104
25.10.01;0252.0000;2.2.6.1;Überdeckte topographische (Begrenzungs-) Linie;Linie;H16;104
04.12.12;0252.C001;;Überdeckte topographische (Begrenzungs-) Linie;Text;1,8 / R;104
06.06.03;6110.0000;2.2.7.1;Ackerland (Gruppensymbol);Punkt;U20;104
25.10.01;6110.0000;2.2.7.1;Ackerland;Flaeche;54;104
04.12.12;6110.C001;;Ackerland;Text;1,8 / R / frei platzierbar;104
06.06.03;6120.0000;2.2.7.2;Streuobstacker (Gruppensymbol);Punkt;U21;104
25.10.01;6120.0000;2.2.7.2;Streuobstacker;Flaeche;57;104
04.12.12;6120.C001;;Streuobstacker;Text;1,8 / R / frei platzierbar;104
18.07.03;6210.0000;2.2.7.3;Grünland (Gruppensymbol);Punkt;U22;104
25.10.01;6210.0000;2.2.7.3;Grünland;Flaeche;44;104
04.12.12;6210.C001;;Grünland;Text;1,8 / R / frei platzierbar;104
11.09.02;6210.C001;;Grünland (Einzelzeichen);Punkt;U45;104
05.03.13;6210.C002;;Beet / Rabatte / Zierfläche (maßstäblich gemessen);Punkt;U01;104
05.03.13;6210.C002;;Beet / Rabatte / Zierfläche ;Linie;61;104
05.03.13;6210.C002;;Beet / Rabatte / Zierfläche ;Flaeche;0;104
05.03.13;6210.C002;;Beet / Rabatte / Zierfläche ;Text;1,8 / S / frei platzierbar;104
06.06.03;6220.0000;2.2.7.4;Streuobstwiese (Gruppensymbol);Punkt;U23;104
25.10.01;6220.0000;2.2.7.4;Streuobstwiese;Flaeche;57;104
04.12.12;6220.C001;;Streuobstwiese;Text;1,8 / R / frei platzierbar;104
29.10.03;6310.0000;2.2.7.5;Gartenland (Gruppensymbol);Punkt;U24;104
25.10.01;6310.0000;2.2.7.5;Gartenland;Flaeche;42;104
04.12.12;6310.C001;;Gartenland;Text;1,8 / R / frei platzierbar;104
04.12.12;6310.C001;;Gartenland (Einzelsymbol);Punkt;X1;104
18.07.03;6710.0000;2.2.7.6;Obstbaumanlage (Gruppensymbol);Punkt;U25;104
25.10.01;6710.0000;2.2.7.6;Obstbaumanlage;Flaeche;71;104
04.12.12;6710.C001;;Obstbaumanlage;Text;1,8 / R / frei platzierbar;104
06.06.03;6720.0000;2.2.7.7;Obststrauchanlage (Gruppensymbol);Punkt;U26;104
25.10.01;6720.0000;2.2.7.7;Obststrauchanlage;Flaeche;55;104
04.12.12;6720.C001;;Obststrauchanlage;Text;1,8 / R / frei platzierbar;104
06.06.03;6320.0000;2.2.7.8;Baumschule;Punkt;U27;104
25.10.01;6320.0000;2.2.7.8;Baumschule;Flaeche;0;104
04.12.12;6320.C001;;Baumschule;Text;1,8 / R / frei platzierbar;104
18.07.03;6400.0000;2.2.7.9;Weingarten (Gruppensymbol);Punkt;U28;104
25.10.01;6400.0000;2.2.7.9;Weingarten;Flaeche;0;104
04.12.12;6400.C001;;Weingarten;Text;1,8 / R / frei platzierbar;104
29.10.03;6204.0000;2.2.7.10;Korbweiden;Punkt;U29;104
29.10.03;6204.0000;2.2.7.10;Korbweiden;Flaeche;0;104
04.12.12;6204.C001;;Korbweiden;Flaeche;1,8 / R / frei platzierbar;104
06.06.03;7100.0000;2.2.7.11;Laubwald (Gruppensymbol);Punkt;U30;104
06.06.03;7100.0000;2.2.7.11;Laubwald;Flaeche;0;104
04.12.12;7100.C001;;Laubwald;Text;1,8 / R / frei platzierbar;104
18.07.03;7200.0000;2.2.7.12;Nadelwald (Gruppensymbol);Punkt;U31;104
16.07.02;7200.0000;2.2.7.12;Nadelwald;Flaeche;0;104
04.12.12;7200.C001;;Nadelwald;Text;1,8 / R / frei platzierbar;104
18.07.03;7300.0000;2.2.7.13;Mischwald (Gruppensymbol);Punkt;U32;104
